title,category_name,rating,price_inr
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,3,1769.24
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,4,2520.4
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,4,4532.28
The Murder That Never Was (Forensic Instincts #5),Fiction,3,5708.6
The Nameless City (The Nameless City #1),Sequential Art,4,4025.88
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,3,4770.71
The Past Never Ends,Mystery,4,5960.75
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,1,5951.25
The Requiem Red,Young Adult,1,2389.57
The Secret of Dreadwillow Carse,Childrens,1,5921.72
The Torch Is Passed: A Harding Family Story,Add a comment,1,2014.0
Thirst,Fiction,5,1821.98
This One Summer,Sequential Art,4,2056.19
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,3,3283.16
Tipping the Velvet,Historical Fiction,1,5669.57
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,1717.54
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,1,2692.36
Unicorn Tracks,Fantasy,3,1981.29
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,4660.99
Untitled Collection: Sabbath Poems 2014,Poetry,4,1505.48
Wall and Piece,Art,4,4660.99
"We Love You, Charlie Freeman",Fiction,5,5303.48
When We Collided,Contemporary,1,3351.74
Without Borders (Wanderlove #1),New Adult,2,4754.88
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,4251.65
You can't bury them all: Poems,Poetry,2,3547.96
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,1,5107.25
